measurement,k,datasets,wins,rank_mean,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
morphology_image_summary,4,1,0,51.0,163.45477294921875,502.2786865234375,1.0,64.81046876155087,64.81046876155087,64.81046876155087
morphology_image_summary,32,1,0,52.0,165.6387939453125,358.0597229003906,1.0,65.67644178875564,65.67644178875564,24.324434160783955
morphology_image_histogram,4,1,0,53.0,168.02059936523438,503.1783447265625,0.9967897271268058,66.6208371280823,66.6208371280823,66.6208371280823
morphology_image_summary,16,1,0,54.0,170.3984375,365.97607421875,1.0,67.56365942303682,67.56365942303682,39.69491235107247
morphology_image_histogram,16,1,0,55.0,171.60279846191406,374.2567138671875,1.0,68.04119334322411,68.04119334322411,39.97547245199612
morphology_image_summary,5,1,0,56.0,171.81455993652344,435.8337097167969,1.0,68.12515761167245,68.12515761167245,66.76048923677973
seq_jaccard,1,1,0,57.0,178.9295654296875,567.8598022460938,0.9951845906902087,70.94628563952288,70.94628563952288,28.47702478541061
morphology_image_histogram,12,1,0,58.0,183.68435668945312,378.0935363769531,1.0,72.83157931953352,72.83157931953352,57.22565160888552
morphology_image_summary,12,1,0,59.0,188.32435607910156,365.124267578125,1.0,74.67135756565334,74.67135756565334,58.67121286038816
morphology_image_histogram,5,1,0,60.0,188.34710693359375,434.1572570800781,0.9983948635634029,74.68037837011049,74.68037837011049,73.18439723539309
morphology_image_histogram,8,1,0,61.0,192.34764099121094,373.6612243652344,1.0,76.26660606412386,76.26660606412386,72.14912811791768
morphology_image_summary,8,1,0,62.0,199.20265197753906,375.1886291503906,1.0,78.98464523406314,78.98464523406314,74.72042591680736
expression,2,1,0,63.0,210.1270751953125,441.5796813964844,0.9983948635634029,83.31622256838442,83.31622256838442,82.951370955772
seq_jaccard,3,1,0,64.0,211.43972778320312,456.1876220703125,0.9983948635634029,83.83669454976048,83.83669454976048,68.72204249977237
seq_jaccard,4,1,0,65.0,213.5181121826172,421.1131286621094,0.9983948635634029,84.66078224547168,84.66078224547168,84.66078224547168
expression,3,1,0,66.0,213.60653686523438,408.083740234375,0.9983948635634029,84.69584298445844,84.69584298445844,69.42629778512217
seq_jaccard_all,3,1,0,67.0,215.82901000976562,411.0752258300781,0.9967897271268058,85.57706244173166,85.57706244173166,70.14864497831229
expression,4,1,0,68.0,216.6626434326172,400.99969482421875,0.9983948635634029,85.90760141551306,85.90760141551306,85.90760141551306
seq_jaccard_all,5,1,0,69.0,221.81097412109375,393.6146240234375,0.9967897271268058,87.94893504706938,87.94893504706938,86.18716106412501
expression,5,1,0,70.0,222.15476989746094,390.07080078125,0.9983948635634029,88.0852514422567,88.0852514422567,86.32074679886304
seq_jaccard_all,1,1,0,71.0,222.7230224609375,564.5413208007812,0.9951845906902087,88.31056584788321,88.31056584788321,35.44684756636285
seq_jaccard,5,1,0,72.0,223.4847869873047,414.6900329589844,0.9983948635634029,88.61260851784621,88.61260851784621,86.83753997194484
seq_jaccard_all,2,1,0,73.0,224.32034301757812,454.4902038574219,0.9967897271268058,88.94390981313103,88.94390981313103,88.5544138911245
expression,8,1,0,74.0,227.5431365966797,365.22491455078125,1.0,90.2217603084982,90.2217603084982,85.350872150373
seq_jaccard_all,4,1,0,75.0,227.57330322265625,394.5361022949219,0.9967897271268058,90.23372149589713,90.23372149589713,90.23372149589713
seq_jaccard,2,1,0,76.0,228.08834838867188,481.9183654785156,0.9983948635634029,90.43793895642497,90.43793895642497,90.04190050373934
seq_jaccard_all,8,1,0,77.0,231.1897430419922,382.4473876953125,0.9967897271268058,91.66765429400463,91.66765429400463,86.71870527929863
expression,12,1,0,78.0,232.01605224609375,360.3965148925781,1.0,91.99528918586824,91.99528918586824,72.28307305423523
seq_jaccard,8,1,0,79.0,233.17189025878906,398.81463623046875,0.9983948635634029,92.45358356335011,92.45358356335011,87.46220383616311
expression,16,1,0,80.0,234.6730194091797,360.3847961425781,1.0,93.04878725274418,93.04878725274418,54.667901145566056
seq_jaccard,12,1,0,81.0,234.98927307128906,383.2770690917969,0.9983948635634029,93.17418308988644,93.17418308988644,73.20936042113695
seq_jaccard_all,12,1,0,82.0,239.1668701171875,369.0182800292969,0.9983948635634029,94.83061696426259,94.83061696426259,74.51086326775699
seq_jaccard_all,16,1,0,83.0,240.2056884765625,360.7362976074219,0.9983948635634029,95.24251258293697,95.24251258293697,55.956755767236224
expression,24,1,0,84.0,240.28094482421875,351.5591735839844,1.0,95.27235202464234,95.27235202464234,42.40205345139916
seq_jaccard,16,1,0,85.0,243.0516357421875,384.22216796875,0.9983948635634029,96.37094201346277,96.37094201346277,56.6197291425922
expression,32,1,0,86.0,244.0824432373047,343.6834411621094,1.0,96.77966129253956,96.77966129253956,35.844062727776965
seq_jaccard,24,1,0,87.0,245.2321319580078,369.8505859375,0.9983948635634029,97.2355174512446,97.2355174512446,43.27578275044278
seq_jaccard_all,24,1,0,88.0,246.847900390625,361.11773681640625,1.0,97.87617607282287,97.87617607282287,43.56091522108059
seq_jaccard,32,1,0,89.0,248.42308044433594,370.66351318359375,0.9983948635634029,98.50074124044002,98.50074124044002,36.48149518815301
seq_jaccard_all,32,1,0,90.0,251.63458251953125,360.6368103027344,1.0,99.77411460951726,99.77411460951726,36.9531115826258
seq_blast,5,1,0,91.0,257.54833984375,433.1508483886719,0.9983948635634029,102.11894295199549,102.11894295199549,100.07331844543017
seq_blast,4,1,0,92.0,261.0460205078125,442.62799072265625,0.9935794542536116,103.50578727184003,103.50578727184003,103.50578727184003
seq_blast,12,1,0,93.0,262.62359619140625,398.3911437988281,1.0,104.13130231625112,104.13130231625112,81.81865179368853
seq_blast,3,1,0,94.0,263.4197998046875,454.1177673339844,0.9935794542536116,104.44700022139843,104.44700022139843,85.61658145918855
seq_blast,16,1,0,95.0,263.42083740234375,393.2118835449219,1.0,104.44741163300345,104.44741163300345,61.364805954468615
seq_blast,2,1,0,96.0,266.9134521484375,514.3341674804688,0.9935794542536116,105.83224729618819,105.83224729618819,105.36879534287
seq_blast,24,1,0,97.0,268.2980651855469,386.4814453125,1.0,106.38125188240662,106.38125188240662,47.34619679986321
seq_blast,8,1,0,98.0,268.52581787109375,411.11572265625,1.0,106.47155672970881,106.47155672970881,100.72337532559308
seq_blast,32,1,0,99.0,270.89508056640625,381.1940002441406,1.0,107.41097882875124,107.41097882875124,39.78155958979856
seq_blast,1,1,0,100.0,278.9270935058594,584.3646240234375,0.9935794542536116,110.59570396288069,110.59570396288069,44.39184623298156
morphology,24,1,0,101.0,289.0511474609375,395.48895263671875,1.0,114.6099316954639,114.6099316954639,51.00846516894323
morphology,32,1,0,102.0,292.52874755859375,387.77606201171875,1.0,115.98881399071715,115.98881399071715,42.95851286187762
morphology,16,1,0,103.0,293.0773010253906,403.89105224609375,1.0,116.20631762601892,116.20631762601892,68.27338294279701
morphology,12,1,0,104.0,295.3025207519531,414.42742919921875,1.0,117.0886261140113,117.0886261140113,91.99955552201503
morphology,8,1,0,105.0,296.1448059082031,433.84417724609375,1.0,117.4225955345581,117.4225955345581,111.08318996177931
morphology,5,1,0,106.0,298.5893249511719,450.6776428222656,1.0,118.39185707530591,118.39185707530591,116.02025708405971
morphology,4,1,0,107.0,300.2300109863281,470.6370849609375,1.0,119.04239562557535,119.04239562557535,119.04239562557535
morphology,2,1,0,108.0,301.2789306640625,548.5487060546875,1.0,119.45829645722803,119.45829645722803,118.93517441978115
morphology,3,1,0,109.0,311.1382141113281,488.01123046875,1.0,123.36754162848284,123.36754162848284,101.12599839981712
morphology,1,1,0,110.0,360.6060791015625,619.066650390625,0.9903691813804173,142.981747202316,142.981747202316,57.39123228564625
