measurement,k,datasets,wins,rank_mean,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
morphology_image_texture,3,1,0,21.0,221.76771545410156,498.9139404296875,0.9972508591065292,91.68111619464332,91.68111619464332,75.11970155673538
learned_mix,12,1,0,22.0,224.88670349121094,441.0939025878906,0.9978006872852234,92.97053879637053,92.97053879637053,92.92756297199315
morphology_image_texture,4,1,0,23.0,224.91574096679688,487.0184020996094,0.9975257731958763,92.98254319551286,92.98254319551286,84.67979338943496
morphology_image_texture,5,1,0,24.0,227.10546875,481.18927001953125,0.9979381443298969,93.88779979210722,93.88779979210722,88.56588406996649
morphology_image,12,1,0,25.0,229.48233032226562,455.94097900390625,0.9989003436426117,94.87041947387314,94.87041947387314,94.82656542571229
morphology_image_all,12,1,0,25.0,229.48233032226562,455.94097900390625,0.9989003436426117,94.87041947387314,94.87041947387314,94.82656542571229
learned_mix,16,1,0,27.0,230.86817932128906,444.53125,0.9987628865979381,95.44334408937695,95.44334408937695,95.44334408937695
morphology_image_texture,8,1,0,28.0,231.3128204345703,471.2481689453125,0.9987628865979381,95.62716342253904,95.62716342253904,94.25842256925621
morphology_image_summary,2,1,0,29.0,236.45428466796875,529.0484619140625,0.996701030927835,97.75269904808127,97.75269904808127,76.47898137542788
morphology_image_summary,1,1,0,30.0,237.0723876953125,627.6234130859375,0.9953264604810996,98.00822936886816,98.00822936886816,33.08914632746271
morphology_image,16,1,0,31.0,237.11610412597656,456.02642822265625,0.9989003436426117,98.02630220309979,98.02630220309979,98.02630220309979
morphology_image_all,16,1,0,31.0,237.11610412597656,456.02642822265625,0.9989003436426117,98.02630220309979,98.02630220309979,98.02630220309979
morphology_image_texture,12,1,0,33.0,237.15676879882812,467.6353759765625,0.9989003436426117,98.04311340841471,98.04311340841471,97.99779277590252
morphology_image_summary,3,1,0,34.0,237.48912048339844,504.6468505859375,0.9978006872852234,98.1805111055871,98.1805111055871,80.44503600153993
learned_mix,24,1,0,35.0,238.07595825195312,450.8467102050781,0.9989003436426117,98.42311603812249,98.42311603812249,96.0084670572784
morphology_image_summary,5,1,0,36.0,239.34521484375,481.974853515625,0.9979381443298969,98.94784012086404,98.94784012086404,93.33910216793397
morphology_image_summary,4,1,0,37.0,240.54544067382812,486.469482421875,0.9978006872852234,99.44402615751004,99.44402615751004,90.56430701325331
morphology_image_texture,16,1,0,38.0,242.671142578125,466.1864318847656,0.9991752577319588,100.32281377943218,100.32281377943218,100.32281377943218
learned_mix,32,1,0,39.0,244.7604217529297,456.41046142578125,0.9989003436426117,101.1865438602336,101.1865438602336,94.74510695698463
morphology_image_summary,8,1,0,40.0,245.56005859375,478.4125061035156,0.9986254295532646,101.51712217712993,101.51712217712993,100.06407654178496
morphology_image,24,1,0,41.0,246.10162353515625,459.508056640625,0.9990378006872852,101.74101084468619,101.74101084468619,99.24496278163753
morphology_image_all,24,1,0,41.0,246.10162353515625,459.508056640625,0.9990378006872852,101.74101084468619,101.74101084468619,99.24496278163753
morphology_image_texture,24,1,0,43.0,249.99716186523438,469.0022888183594,0.9995876288659794,103.35146754055496,103.35146754055496,100.81590957601257
morphology_image,32,1,0,44.0,250.2195587158203,464.4080810546875,0.9993127147766323,103.44340874785892,103.44340874785892,96.85830202233718
morphology_image_all,32,1,0,44.0,250.2195587158203,464.4080810546875,0.9993127147766323,103.44340874785892,103.44340874785892,96.85830202233718
morphology_image_summary,12,1,0,46.0,251.40023803710938,475.5946350097656,0.9990378006872852,103.93151405129349,103.93151405129349,103.88347149337173
morphology_image_histogram,1,1,0,47.0,253.69277954101562,674.0933227539062,0.9957388316151202,104.87927492609121,104.87927492609121,35.40892124156635
morphology_image_summary,16,1,0,48.0,255.62158203125,472.94000244140625,0.9990378006872852,105.67666225030835,105.67666225030835,105.67666225030835
morphology_image_texture,32,1,0,49.0,257.31414794921875,468.41876220703125,0.9997250859106529,106.37638688008434,106.37638688008434,99.60456962115971
morphology_image_histogram,3,1,0,50.0,260.0043640136719,535.4844970703125,0.9969759450171821,107.48855061901625,107.48855061901625,88.07165726608287
morphology_image_histogram,2,1,0,51.0,261.1056823730469,571.9545288085938,0.996701030927835,107.94384726247223,107.94384726247223,84.45225108636718
morphology_image_histogram,4,1,0,52.0,261.2723388671875,522.3711547851562,0.9971134020618557,108.01274481761281,108.01274481761281,98.36789358782138
morphology_image_summary,24,1,0,53.0,261.8903503417969,475.1194763183594,0.9991752577319588,108.26823728953221,108.26823728953221,105.61205448052935
morphology_image_histogram,5,1,0,54.0,262.4292907714844,512.6954956054688,0.9975257731958763,108.49104095622009,108.49104095622009,102.34135827268938
morphology_image_summary,32,1,0,55.0,266.4162292480469,476.01153564453125,0.9991752577319588,110.1392834381438,110.1392834381438,103.12792384653834
morphology_image_histogram,8,1,0,56.0,269.7716979980469,502.626708984375,0.9979381443298969,111.52646966462552,111.52646966462552,109.93015717569519
morphology_image_histogram,12,1,0,57.0,274.9571228027344,498.4233093261719,0.9980756013745704,113.6701790547127,113.6701790547127,113.61763477869535
morphology_image_histogram,16,1,0,58.0,279.25469970703125,498.10150146484375,0.9980756013745704,115.44684274406654,115.44684274406654,115.44684274406654
morphology_image_histogram,24,1,0,59.0,285.89495849609375,495.4533996582031,0.9984879725085911,118.19199587131936,118.19199587131936,115.29234999682716
morphology_image_histogram,32,1,0,60.0,287.647705078125,495.6225891113281,0.9986254295532646,118.91659982333253,118.91659982333253,111.34648481309014
seq_jaccard,24,1,0,61.0,306.91070556640625,519.2222290039062,0.9995876288659794,126.88012770838709,126.88012770838709,123.76733283465279
