dataset,measurement,label,k,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard,weight_seq_jaccard_all,weight_seq_blast,score
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.25_seq_blast0.125,3,False,7275,17264,0.9968384879725086,393.8709411621094,292.82110595703125,0.7434442995288448,225.2572021484375,193.27157592773438,447.52362060546875,354.80535888671875,0.5447256565093994,0.25,0.0,1.0,0.25,0.25,0.125,417.03338623046875
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.25_seq_blast0.5,3,False,7275,17361,0.9965635738831615,393.8709411621094,293.2765197753906,0.7446005509065567,225.1045684814453,192.8177032470703,448.90435791015625,354.80535888671875,0.54344642162323,0.25,0.0,1.0,0.25,0.25,0.5,417.26988220214844
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0_seq_blast0,2,False,7275,11465,0.9962886597938144,393.8709411621094,317.319580078125,0.805643541871556,221.54556274414062,183.98239135742188,466.6927185058594,354.80535888671875,0.5185445547103882,0.25,0.0,1.0,0.25,0.0,0.0,417.32875061035156
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.5_seq_jaccard_all0.125_seq_blast0.25,3,False,7275,17837,0.9968384879725086,393.8709411621094,291.4546813964844,0.7399750805087382,227.2694091796875,194.23597717285156,446.7004699707031,354.80535888671875,0.5474437475204468,0.25,0.0,1.0,0.5,0.125,0.25,417.5862121582031
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.125_seq_blast0.125,2,False,7275,11524,0.9962886597938144,393.8709411621094,317.2013244628906,0.8053433023695367,221.5528106689453,183.66665649414062,468.1188049316406,354.80535888671875,0.5176546573638916,0.25,0.0,1.0,0.25,0.125,0.125,417.72605895996094
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.125_seq_jaccard_all0.125_seq_blast0,2,False,7275,11359,0.9961512027491409,393.8709411621094,317.6993713378906,0.8066077949302991,223.1811065673828,183.9697723388672,467.5971984863281,354.80535888671875,0.518509030342102,0.25,0.0,1.0,0.125,0.125,0.0,417.76837158203125
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.5_seq_jaccard_all0_seq_blast0.5,3,False,7275,17732,0.996701030927835,393.8709411621094,291.1063232421875,0.7390906330466608,227.5860595703125,195.54412841796875,445.2667541503906,354.80535888671875,0.5511307120323181,0.25,0.0,1.0,0.5,0.0,0.5,418.17750549316406
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.25_seq_blast0,3,False,7275,17272,0.9968384879725086,393.8709411621094,292.96612548828125,0.7438124900097727,225.32760620117188,193.4916229248047,449.4267272949219,354.80535888671875,0.5453458428382874,0.25,0.0,1.0,0.25,0.25,0.0,418.2049865722656
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.5_seq_jaccard_all0_seq_blast0.5,4,False,7275,23481,0.9971134020618557,393.8709411621094,276.78814697265625,0.7027381765102996,229.1696319580078,196.99566650390625,442.4436950683594,354.80535888671875,0.5552217960357666,0.25,0.0,1.0,0.5,0.0,0.5,418.21751403808594
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.125_seq_blast0.25,2,False,7275,11481,0.9961512027491409,393.8709411621094,317.7570495605469,0.8067542343261227,220.48716735839844,182.55445861816406,471.56085205078125,354.80535888671875,0.514519989490509,0.25,0.0,1.0,0.25,0.125,0.25,418.3348846435547
breast_2fov_v2,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.25_seq_blast0,3,False,7275,17151,0.9968384879725086,393.8709411621094,293.3739318847656,0.7448478707750588,226.3147430419922,192.6814422607422,451.350341796875,354.80535888671875,0.5430623888969421,0.125,0.0,1.0,0.25,0.25,0.0,418.3566131591797
breast_2fov_v2,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard0.5_seq_jaccard_all0_seq_blast0,3,False,7275,17721,0.9968384879725086,393.8709411621094,290.8272705078125,0.7383821453030571,226.91526794433594,194.64561462402344,447.5160827636719,354.80535888671875,0.5485982894897461,0.125,0.0,1.0,0.5,0.0,0.0,418.4036560058594
breast_2fov_v2,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard0.5_seq_jaccard_all0_seq_blast0.25,4,False,7275,23424,0.9971134020618557,393.8709411621094,276.90545654296875,0.7030360140963028,229.64886474609375,200.1947479248047,436.6439208984375,354.80535888671875,0.5642382502555847,0.125,0.0,1.0,0.5,0.0,0.25,418.51670837402344
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.5_seq_jaccard_all0.125_seq_blast0.5,4,False,7275,23567,0.9971134020618557,393.8709411621094,276.4201965332031,0.7018039861423393,229.2010040283203,198.06756591796875,441.00775146484375,354.80535888671875,0.5582428574562073,0.25,0.0,1.0,0.5,0.125,0.5,418.5714416503906
breast_2fov_v2,learned_mix,learned_expression0_morphology0_morphology_image1_seq_jaccard0.5_seq_jaccard_all0_seq_blast0.5,3,False,7275,17602,0.996701030927835,393.8709411621094,290.958251953125,0.7387146944495517,227.73428344726562,194.37139892578125,448.652587890625,354.80535888671875,0.5478254556655884,0.0,0.0,1.0,0.5,0.0,0.5,418.69769287109375
breast_2fov_v2,learned_mix,learned_expression0.125_morphology0_morphology_image1_seq_jaccard0.5_seq_jaccard_all0_seq_blast0.5,3,False,7275,17630,0.996701030927835,393.8709411621094,291.186279296875,0.7392936336906067,227.46066284179688,194.45779418945312,448.6334228515625,354.80535888671875,0.5480689406394958,0.125,0.0,1.0,0.5,0.0,0.5,418.7745056152344
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0_seq_blast0.25,4,False,7275,22444,0.9964261168384879,393.8709411621094,280.1533203125,0.7112820242232455,228.28875732421875,197.35850524902344,442.9153137207031,354.80535888671875,0.556244432926178,0.25,0.0,1.0,0.25,0.0,0.25,418.816162109375
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.25_seq_jaccard_all0.125_seq_blast0.25,4,False,7275,22548,0.9965635738831615,393.8709411621094,280.1211242675781,0.7112002815975345,227.7265167236328,197.775146484375,442.0898742675781,354.80535888671875,0.557418704032898,0.25,0.0,1.0,0.25,0.125,0.25,418.82008361816406
breast_2fov_v2,learned_mix,learned_expression0.25_morphology0_morphology_image1_seq_jaccard0.125_seq_jaccard_all0.125_seq_blast0.125,2,False,7275,11361,0.9961512027491409,393.8709411621094,318.01141357421875,0.8074000398098209,223.13983154296875,184.45870971679688,468.7242126464844,354.80535888671875,0.5198870301246643,0.25,0.0,1.0,0.125,0.125,0.125,418.82081604003906
