measurement,k,datasets,wins,rank_mean,median_xy_error_median,p90_xy_error_median,coverage_mean,median_vs_spatial_best_mean,median_vs_spatial_best_median,median_vs_spatial_same_k_median
seq_jaccard_all,3,1,0,21.0,214.5229034423828,432.5633544921875,0.9984177215189873,87.29882004480135,87.29882004480135,73.9738504251686
expression,12,1,0,22.0,215.23793029785156,343.3115234375,0.9984177215189873,87.58979597222502,87.58979597222502,68.55565132300067
expression,8,1,0,23.0,216.04257202148438,357.47637939453125,0.9984177215189873,87.91724013741565,87.91724013741565,84.6485393976364
seq_jaccard,5,1,0,24.0,218.00527954101562,423.762939453125,1.0,88.71595229261523,88.71595229261523,88.05548693059674
expression,16,1,0,25.0,225.47723388671875,345.7278137207031,1.0,91.7566196868252,91.7566196868252,59.01998105684152
seq_jaccard,8,1,0,26.0,225.58985900878906,392.2764892578125,1.0,91.80245181060485,91.80245181060485,88.38930165168433
seq_jaccard_all,5,1,0,27.0,226.1073760986328,388.5843505859375,0.9984177215189873,92.01305231326172,92.01305231326172,91.32804096709414
morphology_image_texture,32,1,0,28.0,226.9349365234375,405.8023681640625,0.9889240506329114,92.34982310762415,92.34982310762415,34.11423551297255
seq_jaccard,12,1,0,29.0,227.97579956054688,389.0533447265625,1.0,92.7733961318085,92.7733961318085,72.61280297170347
morphology_image_histogram,32,1,0,30.0,227.98065185546875,419.8327331542969,1.0,92.77537074437616,92.77537074437616,34.27143378161708
morphology_image_texture,24,1,0,31.0,231.9007110595703,406.1145324707031,0.9857594936708861,94.37061552958271,94.37061552958271,41.35550316222279
seq_jaccard_all,4,1,0,32.0,232.09152221679688,404.8547058105469,0.9984177215189873,94.44826499549038,94.44826499549038,89.31286896309763
morphology_image,32,1,0,33.0,233.7690887451172,410.59521484375,0.990506329113924,95.13094071970903,95.13094071970903,35.141586708841885
morphology_image_all,32,1,0,33.0,233.7690887451172,410.59521484375,0.990506329113924,95.13094071970903,95.13094071970903,35.141586708841885
seq_jaccard_all,2,1,0,35.0,234.8740692138672,463.4186706542969,0.9984177215189873,95.58060595146986,95.58060595146986,95.58060595146986
morphology_image_histogram,24,1,0,36.0,235.40625,424.82806396484375,1.0,95.79717375814411,95.79717375814411,41.98065573753763
morphology_image,24,1,0,37.0,237.2225341796875,418.64666748046875,0.990506329113924,96.53629980579872,96.53629980579872,42.304558781186635
morphology_image_all,24,1,0,37.0,237.2225341796875,418.64666748046875,0.990506329113924,96.53629980579872,96.53629980579872,42.304558781186635
expression,24,1,0,39.0,237.7277374267578,338.37127685546875,1.0,96.74188926335464,96.74188926335464,42.39465309088633
seq_jaccard,16,1,0,40.0,238.3101348876953,385.8157043457031,1.0,96.97889244726217,96.97889244726217,62.37906774123149
seq_blast,3,1,0,41.0,238.91873168945312,456.7558288574219,1.0,97.22655729714039,97.22655729714039,82.38625451250924
seq_jaccard_all,12,1,0,42.0,241.8498992919922,366.8143615722656,0.9984177215189873,98.41937852484644,98.41937852484644,77.03185653857842
seq_jaccard_all,8,1,0,43.0,242.3928985595703,385.4909362792969,0.9984177215189873,98.64034884822028,98.64034884822028,94.97297051891529
seq_blast,1,1,0,44.0,242.4245147705078,584.2379150390625,0.9667721518987342,98.65321487727752,98.65321487727752,35.581967342764635
seq_jaccard_all,24,1,0,45.0,244.4595947265625,359.58612060546875,0.9984177215189873,99.481378565208,99.481378565208,43.595164053434395
morphology_image_summary,24,1,0,46.0,244.75144958496094,396.005126953125,0.995253164556962,99.60014716452156,99.60014716452156,43.647211347572735
seq_jaccard,24,1,0,47.0,244.92547607421875,380.3730163574219,1.0,99.67096620959768,99.67096620959768,43.678245978704
morphology_image_summary,32,1,0,48.0,244.97044372558594,391.6077880859375,0.995253164556962,99.68926552795273,99.68926552795273,36.82544230076682
expression,32,1,0,49.0,246.2708740234375,333.4278869628906,1.0,100.21846790556012,100.21846790556012,37.020930867352206
seq_jaccard,32,1,0,50.0,247.20547485351562,373.6326599121094,1.0,100.59879815640733,100.59879815640733,37.161425730401255
seq_jaccard_all,16,1,0,51.0,247.41656494140625,365.3703308105469,0.9984177215189873,100.68470001257418,100.68470001257418,64.76272892068118
seq_blast,5,1,0,52.0,248.2384033203125,439.432861328125,1.0,101.0191422543804,101.0191422543804,100.26708309663421
seq_blast,4,1,0,53.0,249.28025817871094,451.593017578125,1.0,101.44311889434115,101.44311889434115,95.92739459481677
seq_jaccard_all,32,1,0,54.0,251.13430786132812,357.1239013671875,1.0,102.19761338886673,102.19761338886673,37.752031727754215
seq_blast,12,1,0,55.0,252.70367431640625,403.9248352050781,1.0,102.83625773661586,102.83625773661586,80.4889034219151
seq_blast,2,1,0,56.0,256.617919921875,514.4480590820312,1.0,104.42913671242532,104.42913671242532,104.42913671242532
seq_blast,8,1,0,57.0,256.77508544921875,410.7240295410156,1.0,104.49309428930248,104.49309428930248,100.60811502844977
seq_blast,16,1,0,58.0,259.0661926269531,390.9847412109375,1.0,105.42544673280791,105.42544673280791,67.81208691336292
morphology_image_texture,1,1,0,59.0,259.2945861816406,609.7310180664062,0.9762658227848101,105.51839013190474,105.51839013190474,38.05807967236663
seq_blast,24,1,0,60.0,259.5788879394531,385.951171875,1.0,105.63408504184409,105.63408504184409,46.291429948521085
morphology_image_texture,3,1,0,61.0,259.9938659667969,550.677001953125,0.9825949367088608,105.80295788269373,105.80295788269373,89.65358497329285
seq_blast,32,1,0,62.0,270.2184143066406,392.0917053222656,1.0,109.96377703643564,109.96377703643564,40.62087031119899
morphology_image_texture,16,1,0,63.0,271.1997985839844,415.358154296875,0.9857594936708861,110.3631455329824,110.3631455329824,70.98812904138968
morphology_image,4,1,0,64.0,274.78765869140625,533.4468994140625,0.9889240506329114,111.82320387098576,111.82320387098576,105.74308754999329
morphology_image_all,4,1,0,64.0,274.78765869140625,533.4468994140625,0.9889240506329114,111.82320387098576,111.82320387098576,105.74308754999329
morphology_image_texture,8,1,0,66.0,275.56170654296875,496.980224609375,0.9841772151898734,112.13819804184254,112.13819804184254,107.96897923647549
morphology_image,3,1,0,67.0,276.2301940917969,548.2575073242188,0.9889240506329114,112.4102350751424,112.4102350751424,95.25235176648654
morphology_image_all,3,1,0,67.0,276.2301940917969,548.2575073242188,0.9889240506329114,112.4102350751424,112.4102350751424,95.25235176648654
morphology_image_texture,12,1,0,69.0,279.10406494140625,425.9468688964844,0.9857594936708861,113.57973972991896,113.57973972991896,88.897718596703
morphology_image,5,1,0,70.0,279.919189453125,515.781005859375,0.9889240506329114,113.91144980339254,113.91144980339254,113.06341103484844
morphology_image_all,5,1,0,70.0,279.919189453125,515.781005859375,0.9889240506329114,113.91144980339254,113.91144980339254,113.06341103484844
morphology_image,16,1,0,72.0,280.3878173828125,428.25933837890625,0.990506329113924,114.10215515300919,114.10215515300919,73.39314655073692
morphology_image_all,16,1,0,72.0,280.3878173828125,428.25933837890625,0.990506329113924,114.10215515300919,114.10215515300919,73.39314655073692
morphology_image_histogram,16,1,0,74.0,280.6697692871094,435.1734619140625,1.0,114.21689380403213,114.21689380403213,73.46694910615989
morphology_image,1,1,0,75.0,281.49945068359375,605.8191528320312,0.9873417721518988,114.5545277152087,114.5545277152087,41.31720866064966
morphology_image_all,1,1,0,75.0,281.49945068359375,605.8191528320312,0.9873417721518988,114.5545277152087,114.5545277152087,41.31720866064966
morphology_image_texture,4,1,0,77.0,283.037353515625,531.8323364257812,0.9825949367088608,115.18036812863545,115.18036812863545,108.91771411878602
morphology_image_histogram,3,1,0,78.0,284.12811279296875,549.93212890625,1.0,115.62424613110993,115.62424613110993,97.97578803970268
morphology_image_texture,5,1,0,79.0,284.3494873046875,515.74462890625,0.9825949367088608,115.71433317240448,115.71433317240448,114.85287244325215
morphology_image_histogram,1,1,0,80.0,285.55743408203125,604.5538330078125,0.9968354430379747,116.20589993123008,116.20589993123008,41.912821001659694
morphology_image_summary,16,1,0,81.0,285.6933898925781,406.1917419433594,0.995253164556962,116.26122633996557,116.26122633996557,74.78191109970858
morphology,32,1,0,82.0,286.52423095703125,397.0265808105469,1.0,116.59933217112687,116.59933217112687,43.07205952853365
