dataset,measurement,leaky,n_nodes,n_edges,coverage,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center
tiny_mouse_ileum_multimodal_v3,mix,True,36,100,1.0,26.098700864912136,12.296992035690815,85.0941098355972,237.16876109559072,0.0518491220297538
tiny_mouse_ileum_nucexp_v3,seq_blast,False,23,66,1.0,112.43384462780712,18.77350468531817,278.3227108938238,251.2117264804686,0.0747318007337439
tiny_mouse_ileum_nucexp_v3,seq_jaccard,False,23,63,1.0,71.81700981877032,18.77350468531817,127.25838000157404,251.2117264804686,0.0747318007337439
tiny_mouse_ileum_nucexp_v3,expression,False,23,61,1.0,72.72999075958576,19.46987221669948,195.09039767018103,251.2117264804686,0.0775038350696309
tiny_mouse_ileum_nucexp_v3,expr_morph,False,23,61,1.0,125.05717888727015,102.82401258429718,246.97755490750055,251.2117264804686,0.4093121528396948
tiny_mouse_ileum_nucexp_v3,mix_nonspatial,False,23,61,1.0,125.05717888727015,102.82401258429718,246.97755490750055,251.2117264804686,0.4093121528396948
tiny_mouse_ileum_nucexp_v3,morph_heavy,False,23,62,1.0,224.4680798663517,222.95845537474892,367.53335534468187,251.2117264804686,0.8875320372119798
tiny_mouse_ileum_nucexp_v3,seq_local,False,23,82,1.0,215.7590354685983,230.1580375101683,502.9621497799265,251.2117264804686,0.9161914562458244
tiny_mouse_ileum_nucexp_v3,morphology,False,23,60,1.0,273.7266191399237,251.62721235820663,408.44232564282754,251.2117264804686,1.0016539270819842
tiny_mouse_ileum_nucexp_v3,spatial,True,23,56,1.0,36.83918249194473,9.566375376105398,87.96895982434567,251.2117264804686,0.0380809268346363
tiny_mouse_ileum_nucexp_v3,expr_morph_spatial,True,23,61,1.0,33.39893487535941,13.282515315696267,75.5377613610629,251.2117264804686,0.052873786991504
tiny_mouse_ileum_nucexp_v3,mix,True,23,61,1.0,33.39893487535941,13.282515315696267,75.5377613610629,251.2117264804686,0.052873786991504
