dataset,measurement,label,k,seed,status,leaky,n_nodes,n_edges,coverage,real_spread,pred_spread,pred_spread_ratio,mean_xy_error,median_xy_error,p90_xy_error,center_median_error,median_vs_center,status_reason,runtime_sec,n_union_edges,n_directed_neighbors,mix_mode,k_expression,k_morphology,k_morphology_image,k_seq_jaccard_all,weight_expression,weight_morphology,weight_morphology_image,weight_seq_jaccard_all,spatial_median_xy_error_same_k,spatial_mean_xy_error_same_k,spatial_p90_xy_error_same_k,median_vs_spatial_same_k,spatial_best_k,spatial_best_median_xy_error,median_vs_spatial_best
breast_2fov_v2,morphology_image,morphology_image,24,,ok,False,7275,130387,0.9990378006872852,393.8709411621094,215.9798583984375,0.548351847844354,265.34356689453125,246.10162353515625,459.508056640625,354.80535888671875,0.6936243176460266,,,,,,,,,,,,,,2.479739189147949,3.61443305015564,7.475117683410644,99.24496278163753,16,2.41890287399292,101.7410108446862
breast_2fov_v2,morphology_image,morphology_image,32,,ok,False,7275,173807,0.9993127147766324,393.8709411621094,209.0495758056641,0.5307565345868546,269.48858642578125,250.2195587158203,464.4080810546875,354.80535888671875,0.7052304744720459,,,,,,,,,,,,,,2.5833568572998047,4.003076076507568,8.625261306762695,96.85830202233718,16,2.41890287399292,103.44340874785892
breast_2fov_v2,morphology_image_all,morphology_image_all,1,,ok,False,7275,5766,0.9958762886597938,393.8709411621094,367.71234130859375,0.9335858599359091,231.30300903320312,156.239013671875,603.1217041015625,354.80535888671875,0.4403513371944427,,,,,,,,,,,,,,7.164657115936279,6.741123676300049,11.255999565124512,21.806907315125247,16,2.41890287399292,64.59085867055458
breast_2fov_v2,morphology_image_all,morphology_image_all,2,,ok,False,7275,11209,0.9962886597938144,393.8709411621094,314.4608459472656,0.7983854940388706,232.1443634033203,192.93020629882807,488.1934814453125,354.80535888671875,0.5437635183334351,,,,,,,,,,,,,,3.091755151748657,3.9346635341644287,8.121748924255371,62.40151526543403,16,2.41890287399292,79.7593852870807
breast_2fov_v2,morphology_image_all,morphology_image_all,3,,ok,False,7275,16528,0.9971134020618556,393.8709411621094,291.1724548339844,0.7392585347243061,234.97872924804688,198.4349365234375,472.2539978027344,354.80535888671875,0.5592783093452454,,,,,,,,,,,,,,2.952191114425659,3.467186689376831,6.34485387802124,67.21615533418557,16,2.41890287399292,82.03509891072142
breast_2fov_v2,morphology_image_all,morphology_image_all,4,,ok,False,7275,21919,0.9973883161512028,393.8709411621094,275.8152160644531,0.7002679995905895,239.06625366210932,206.632568359375,460.6218872070313,354.80535888671875,0.58238285779953,,,,,,,,,,,,,,2.6560733318328857,3.214989423751831,6.024593830108643,77.79625881668838,16,2.41890287399292,85.42408650674075
breast_2fov_v2,morphology_image_all,morphology_image_all,5,,ok,False,7275,27361,0.9976632302405498,393.8709411621094,266.1713562011719,0.6757831776465608,241.31985473632807,211.87335205078125,461.3182373046875,354.80535888671875,0.5971537828445435,,,,,,,,,,,,,,2.5642545223236084,3.1162643432617188,5.839629650115967,82.62571059396689,16,2.41890287399292,87.59068184537674
breast_2fov_v2,morphology_image_all,morphology_image_all,8,,ok,False,7275,43634,0.9984879725085912,393.8709411621094,247.90640258789065,0.6294102374154515,248.21359252929688,221.40042114257807,457.2295837402344,354.80535888671875,0.6240053176879883,,,,,,,,,,,,,,2.4540281295776367,3.0592029094696045,5.835903644561768,90.219186354919,16,2.41890287399292,91.5292728463748
breast_2fov_v2,morphology_image_all,morphology_image_all,12,,ok,False,7275,65343,0.9989003436426116,393.8709411621094,235.13511657714844,0.5969851847495689,254.4065093994141,229.4823303222656,455.9409790039063,354.80535888671875,0.646783709526062,,,,,,,,,,,,,,2.4200215339660645,3.1433322429656982,6.100075721740723,94.82656542571227,16,2.41890287399292,94.87041947387314
breast_2fov_v2,morphology_image_all,morphology_image_all,16,,ok,False,7275,87045,0.9989003436426116,393.8709411621094,226.723373413086,0.5756285872325146,259.0327453613281,237.11610412597656,456.02642822265625,354.80535888671875,0.6682990789413452,,,,,,,,,,,,,,2.41890287399292,3.290410280227661,6.449787139892578,98.0263022030998,16,2.41890287399292,98.0263022030998
breast_2fov_v2,morphology_image_all,morphology_image_all,24,,ok,False,7275,130387,0.9990378006872852,393.8709411621094,215.9798583984375,0.548351847844354,265.34356689453125,246.10162353515625,459.508056640625,354.80535888671875,0.6936243176460266,,,,,,,,,,,,,,2.479739189147949,3.61443305015564,7.475117683410644,99.24496278163753,16,2.41890287399292,101.7410108446862
breast_2fov_v2,morphology_image_all,morphology_image_all,32,,ok,False,7275,173807,0.9993127147766324,393.8709411621094,209.0495758056641,0.5307565345868546,269.48858642578125,250.2195587158203,464.4080810546875,354.80535888671875,0.7052304744720459,,,,,,,,,,,,,,2.5833568572998047,4.003076076507568,8.625261306762695,96.85830202233718,16,2.41890287399292,103.44340874785892
breast_2fov_v2,morphology_image_histogram,morphology_image_histogram,1,,ok,False,7275,5797,0.9957388316151202,393.8709411621094,360.1163635253906,0.9143004113552362,302.3981018066406,253.6927795410156,674.0933227539062,354.80535888671875,0.7150195837020874,,,,,,,,,,,,,,7.164657115936279,6.741123676300049,11.255999565124512,35.40892124156635,16,2.41890287399292,104.8792749260912
breast_2fov_v2,morphology_image_histogram,morphology_image_histogram,2,,ok,False,7275,11161,0.996701030927835,393.8709411621094,292.7095642089844,0.743161105882424,293.1520080566406,261.1056823730469,571.9545288085938,354.80535888671875,0.7359124422073364,,,,,,,,,,,,,,3.091755151748657,3.9346635341644287,8.121748924255371,84.45225108636718,16,2.41890287399292,107.94384726247225
breast_2fov_v2,morphology_image_histogram,morphology_image_histogram,3,,ok,False,7275,16527,0.996975945017182,393.8709411621094,264.1744384765625,0.6707131978234302,287.51031494140625,260.0043640136719,535.4844970703125,354.80535888671875,0.7328084707260132,,,,,,,,,,,,,,2.952191114425659,3.467186689376831,6.34485387802124,88.07165726608287,16,2.41890287399292,107.48855061901624
breast_2fov_v2,morphology_image_histogram,morphology_image_histogram,4,,ok,False,7275,21943,0.9971134020618556,393.8709411621094,249.25418090820312,0.6328321154456914,287.4418640136719,261.2723388671875,522.3711547851562,354.80535888671875,0.7363821864128113,,,,,,,,,,,,,,2.6560733318328857,3.214989423751831,6.024593830108643,98.36789358782138,16,2.41890287399292,108.0127448176128
breast_2fov_v2,morphology_image_histogram,morphology_image_histogram,5,,ok,False,7275,27264,0.9975257731958764,393.8709411621094,238.3115692138672,0.6050498889578729,287.370849609375,262.4292907714844,512.6954956054688,354.80535888671875,0.7396429777145386,,,,,,,,,,,,,,2.5642545223236084,3.1162643432617188,5.839629650115967,102.34135827268938,16,2.41890287399292,108.49104095622008
breast_2fov_v2,morphology_image_histogram,morphology_image_histogram,8,,ok,False,7275,43321,0.9979381443298968,393.8709411621094,218.00572204589844,0.5534953185494628,290.38787841796875,269.7716979980469,502.626708984375,354.80535888671875,0.7603371739387512,,,,,,,,,,,,,,2.4540281295776367,3.0592029094696045,5.835903644561768,109.9301571756952,16,2.41890287399292,111.52646966462552
breast_2fov_v2,morphology_image_histogram,morphology_image_histogram,12,,ok,False,7275,64770,0.9980756013745704,393.8709411621094,205.8741912841797,0.5226945422192139,293.15045166015625,274.9571228027344,498.4233093261719,354.80535888671875,0.7749519944190979,,,,,,,,,,,,,,2.4200215339660645,3.1433322429656982,6.100075721740723,113.61763477869536,16,2.41890287399292,113.6701790547127
breast_2fov_v2,morphology_image_histogram,morphology_image_histogram,16,,ok,False,7275,86062,0.9980756013745704,393.8709411621094,197.75816345214844,0.5020887371601124,294.61431884765625,279.25469970703125,498.10150146484375,354.80535888671875,0.7870644927024841,,,,,,,,,,,,,,2.41890287399292,3.290410280227661,6.449787139892578,115.44684274406654,16,2.41890287399292,115.44684274406654
breast_2fov_v2,morphology_image_histogram,morphology_image_histogram,24,,ok,False,7275,128583,0.9984879725085912,393.8709411621094,188.28721618652344,0.4780429234789072,297.33184814453125,285.8949584960937,495.4533996582031,354.80535888671875,0.8057796955108643,,,,,,,,,,,,,,2.479739189147949,3.61443305015564,7.475117683410644,115.29234999682716,16,2.41890287399292,118.19199587131936
breast_2fov_v2,morphology_image_histogram,morphology_image_histogram,32,,ok,False,7275,170850,0.9986254295532646,393.8709411621094,182.25396728515625,0.4627250914916929,299.4739074707031,287.647705078125,495.6225891113281,354.80535888671875,0.8107197284698486,,,,,,,,,,,,,,2.5833568572998047,4.003076076507568,8.625261306762695,111.34648481309014,16,2.41890287399292,118.91659982333252
breast_2fov_v2,morphology_image_summary,morphology_image_summary,1,,ok,False,7275,5683,0.9953264604810996,393.8709411621094,365.7086791992188,0.928498756776018,287.5057373046875,237.0723876953125,627.6234130859375,354.80535888671875,0.6681758761405945,,,,,,,,,,,,,,7.164657115936279,6.741123676300049,11.255999565124512,33.08914632746271,16,2.41890287399292,98.00822936886816
breast_2fov_v2,morphology_image_summary,morphology_image_summary,2,,ok,False,7275,10906,0.996701030927835,393.8709411621094,306.0299072265625,0.776980160871037,271.671142578125,236.45428466796875,529.0484619140625,354.80535888671875,0.6664338111877441,,,,,,,,,,,,,,3.091755151748657,3.9346635341644287,8.121748924255371,76.47898137542788,16,2.41890287399292,97.75269904808128
breast_2fov_v2,morphology_image_summary,morphology_image_summary,3,,ok,False,7275,16039,0.9978006872852234,393.8709411621094,281.166015625,0.7138531590967959,267.6607666015625,237.48912048339844,504.6468505859375,354.80535888671875,0.6693504452705383,,,,,,,,,,,,,,2.952191114425659,3.467186689376831,6.34485387802124,80.44503600153993,16,2.41890287399292,98.1805111055871
